index;id;x;y;lote;quadra;idLote;idQuadra
2217;508;255060;7241475;L3195;Q34;9;1
2218;509;255060;7241490;L3195;Q34;9;1
2219;510;255060;7241505;L3195;Q34;9;1
2220;511;255060;7241520;L3195;Q34;9;1
2221;512;255075;7241415;L3195;Q34;9;1
2222;513;255075;7241430;L3195;Q34;9;1
2223;514;255075;7241445;L3195;Q34;9;1
2224;515;255075;7241460;L3195;Q34;9;1
2225;516;255075;7241475;L3195;Q34;9;1
2226;517;255075;7241490;L3195;Q34;9;1
2227;518;255075;7241505;L3195;Q34;9;1
2228;519;255075;7241520;L3195;Q34;9;1
2229;520;255090;7241415;L3195;Q34;9;1
2230;521;255090;7241430;L3195;Q34;9;1
2231;522;255090;7241445;L3195;Q34;9;1
2232;523;255090;7241460;L3195;Q34;9;1
2233;524;255090;7241475;L3195;Q34;9;1
2234;525;255090;7241490;L3195;Q34;9;1
2235;526;255090;7241505;L3195;Q34;9;1
2236;527;255090;7241520;L3195;Q34;9;1
2237;528;255105;7241415;L3195;Q34;9;1
2238;529;255105;7241430;L3195;Q34;9;1
2239;530;255105;7241445;L3195;Q34;9;1
2240;531;255105;7241460;L3195;Q34;9;1
2241;532;255105;7241475;L3195;Q34;9;1
2242;533;255105;7241490;L3195;Q34;9;1
2243;536;255120;7241415;L3195;Q34;9;1
2244;535;255105;7241520;L3195;Q34;9;1
2245;534;255105;7241505;L3195;Q34;9;1
2246;550;255060;7241325;L3196;Q34;10;1
2255;559;255075;7241340;L3196;Q34;10;1
2259;544;255045;7241355;L3196;Q34;10;1
2284;573;255105;7241310;L3196;Q34;10;1
2321;607;255075;7241190;L3197;Q34;11;1
2333;595;255060;7241130;L3197;Q34;11;1
2344;637;255255;7240785;L3202;Q34;12;1
2354;647;255270;7240815;L3202;Q34;12;1
2368;661;255300;7240785;L3202;Q34;12;1
2374;667;255315;7240755;L3202;Q34;12;1
2382;675;255330;7240755;L3202;Q34;12;1
2383;676;255330;7240770;L3202;Q34;12;1
2386;701;255285;7240920;L3203;Q34;13;1
2387;681;255255;7240860;L3203;Q34;13;1
2388;682;255255;7240875;L3203;Q34;13;1
