command,mean,stddev,median,user,system,min,max
transição na GPU,85.12284981446,14.335641093359651,83.98044756616,403.5215255,120.92148289999997,60.05494059766,105.43078822366
transição na CPU,86.18551503155999,15.762017887340658,90.29179208416,399.80303539999994,128.99646639999997,65.16351121865999,109.04646767365999
